City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,dryden,49.7833,-92.7503,-7.84,93,100,3.09,CA,1701215346
1,dudinka,69.4058,86.1778,-26.26,100,23,1.09,RU,1701214802
2,barcelos,41.5388,-8.6151,17.08,97,100,4.16,PT,1701215096
3,pikalevo,59.5183,34.1664,-5.15,97,98,1.89,RU,1701215347
4,west island,-12.1568,96.8225,25.99,69,75,4.63,CC,1701215347
5,lebu,-37.6167,-73.65,11.35,77,8,6.61,CL,1701215347
6,yellowknife,62.456,-114.3525,-10.33,96,100,1.54,CA,1701215347
7,bredasdorp,-34.5322,20.0403,15.09,71,25,2.93,ZA,1701215348
8,inhambane,-23.865,35.3833,23.68,86,18,4.16,MZ,1701215348
9,begoro,6.3871,-0.3774,21.89,95,61,1.75,GH,1701215348
10,kimbe,-5.5502,150.1429,31.21,62,94,1.37,PG,1701215348
11,paramonga,-10.6667,-77.8333,19.85,85,86,4.83,PE,1701215349
12,waitangi,-43.9535,-176.5597,14.34,91,90,1.79,NZ,1701215349
13,adamstown,-25.066,-130.1015,23.07,86,62,7.71,PN,1701215349
14,edinburgh of the seven seas,-37.0676,-12.3116,14.54,82,87,7.48,SH,1701215349
15,hotan,37.0997,79.9269,1.62,28,26,1.0,CN,1701215350
16,pokhara,28.2333,83.9833,14.89,30,0,2.88,NP,1701215350
17,brookings,44.3114,-96.7984,3.0,68,0,6.17,US,1701215185
18,naberera,-4.2,36.9333,17.98,89,63,1.68,TZ,1701215350
19,klyuchi,52.2667,79.1667,-1.25,71,100,3.19,RU,1701215350
20,vilyuysk,63.7553,121.6247,-17.22,91,63,4.02,RU,1701215351
21,wailua homesteads,22.0669,-159.378,25.97,81,75,4.12,US,1701215351
22,puerto natales,-51.7236,-72.4875,5.76,82,52,0.75,CL,1701215240
23,anadyr,64.75,177.4833,-3.72,80,75,4.0,RU,1701215351
24,utrik,11.2278,169.8474,27.61,77,75,8.99,MH,1701215352
25,bethel,41.3712,-73.414,0.17,56,0,5.66,US,1701215352
26,port mathurin,-19.6833,63.4167,24.85,71,5,3.36,MU,1701215352
27,qaqortoq,60.7167,-46.0333,-5.44,63,100,3.69,GL,1701215352
28,tiksi,71.6872,128.8694,-17.15,91,98,7.58,RU,1701215352
29,gobabis,-22.45,18.9667,23.43,35,98,6.21,NA,1701215353
30,tullamore,53.2739,-7.4889,4.17,94,50,0.61,IE,1701215344
31,port-aux-francais,-49.35,70.2167,5.46,98,100,9.9,TF,1701215353
32,blackmans bay,-43.0167,147.3167,15.41,66,91,1.34,AU,1701215353
33,ushuaia,-54.8,-68.3,7.81,76,40,2.57,AR,1701215353
34,kaiapoi,-43.3783,172.6401,14.49,64,100,5.14,NZ,1701215126
35,atafu village,-8.5421,-172.5159,27.29,77,100,3.81,TK,1701215354
36,susuman,62.7833,148.1667,-28.68,100,100,0.08,RU,1701215354
37,happy valley-goose bay,53.3168,-60.3315,1.17,93,75,0.0,CA,1701215110
38,kerema,-7.9631,145.7785,28.87,68,95,0.89,PG,1701215355
39,aasiaat,68.7098,-52.8699,-9.84,67,97,8.97,GL,1701215355
40,nova sintra,14.8667,-24.7167,21.65,73,8,5.12,CV,1701215355
41,nuku'alofa,-21.1333,-175.2,30.19,79,20,5.66,TO,1701215355
42,'ain benian,36.8028,2.9219,13.03,76,66,4.01,DZ,1701215356
43,whitehorse,60.7161,-135.0538,-4.57,74,20,0.0,CA,1701215356
44,pisco,-13.7,-76.2167,20.03,83,0,10.29,PE,1701215356
45,san joaquin,37.9333,-121.3011,18.14,43,0,2.57,US,1701215356
46,puerto ayora,-0.7393,-90.3518,24.75,91,79,5.36,EC,1701215357
47,rio gallegos,-51.6226,-69.2181,14.03,30,40,9.26,AR,1701215357
48,rovaniemi,66.5,25.7167,-4.33,86,100,10.8,FI,1701215357
49,shenjiamen,29.9576,122.298,16.5,67,86,7.29,CN,1701215357
50,berdigestyakh,62.0989,126.6992,-19.17,93,100,4.67,RU,1701215357
51,jilin,43.0,126.0,-14.61,89,69,5.52,CN,1701215358
52,lisala,2.15,21.5167,21.0,100,100,0.99,CD,1701215358
53,axim,4.8699,-2.2405,26.08,85,29,2.31,GH,1701215358
54,lata,40.1629,-8.3327,16.56,97,95,2.08,PT,1701215358
55,praia da vitoria,38.7333,-27.0667,19.31,82,75,5.06,PT,1701215359
56,xining,36.6167,101.7667,-3.96,64,35,0.97,CN,1701215359
57,geraldton,-28.7667,114.6,21.23,68,75,5.14,AU,1701215359
58,inirida,3.8653,-67.9239,26.72,74,65,0.82,CO,1701215359
59,uyuni,-20.4597,-66.825,16.96,19,1,3.37,BO,1701215359
60,albany,42.6001,-73.9662,-1.54,78,54,0.89,US,1701215360
61,codrington,-38.2667,141.9667,16.77,77,100,10.85,AU,1701215360
62,chonchi,-42.6128,-73.8092,11.18,85,94,3.24,CL,1701215360
63,saint-pierre,-21.3393,55.4781,22.82,60,9,2.57,RE,1701215360
64,polyarnyy,69.1989,33.4478,-3.23,90,97,6.39,RU,1701215361
65,saint-philippe,-21.3585,55.7679,22.77,78,39,3.86,RE,1701215361
66,stanley,54.868,-1.6985,0.85,89,20,3.09,GB,1701215361
67,beaufort west,-32.3567,22.583,14.45,71,100,4.23,ZA,1701215361
68,saudarkrokur,65.7461,-19.6394,1.23,93,98,0.71,IS,1701215362
69,thompson,55.7435,-97.8558,-11.91,85,100,1.54,CA,1701215362
70,la passe,45.5549,-0.8967,2.13,85,8,1.56,FR,1701215362
71,hayes,51.5158,-0.4234,3.95,93,35,3.6,GB,1701215362
72,murwara,23.85,80.4,15.06,95,0,1.34,IN,1701215362
73,yuzhno-kurilsk,44.0306,145.8556,3.54,74,87,13.93,RU,1701215363
74,zolochiv,49.806,24.8944,-1.01,99,100,2.05,UA,1701215363
75,andovoranto,-18.95,49.1,22.31,89,0,3.28,MG,1701215363
76,punta arenas,-53.15,-70.9167,10.06,46,40,9.26,CL,1701215363
77,barinas,8.6226,-70.2075,26.97,67,47,1.78,VE,1701215364
78,ad dilam,23.9915,47.1627,18.23,37,0,3.15,SA,1701215364
79,crane,31.3974,-102.3501,11.48,51,91,4.58,US,1701215364
80,margaret river,-33.95,115.0667,19.36,69,1,1.88,AU,1701215349
81,grytviken,-54.2811,-36.5092,-0.31,72,47,4.15,GS,1701215364
82,longyearbyen,78.2186,15.6401,0.91,86,75,2.57,SJ,1701215365
83,haiku-pauwela,20.9219,-156.3051,26.69,78,40,2.06,US,1701215365
84,hawaiian paradise park,19.5933,-154.9731,27.15,77,100,5.66,US,1701215365
85,georgetown,5.4112,100.3354,26.68,87,20,1.03,MY,1701215365
86,tura,25.5198,90.2201,17.5,72,77,1.38,IN,1701215365
87,vila franca do campo,37.7167,-25.4333,18.23,99,94,2.52,PT,1701215366
88,lihue,21.9789,-159.3672,26.31,77,75,4.12,US,1701215238
89,ribeira grande,38.5167,-28.7,18.76,96,100,3.58,PT,1701215366
90,papatowai,-46.5619,169.4708,11.36,54,87,5.97,NZ,1701215366
91,guanare,9.0418,-69.7421,25.48,76,41,1.69,VE,1701215366
92,puerto baquerizo moreno,-0.9,-89.6,24.57,78,45,7.52,EC,1701215367
93,lucea,18.451,-78.1736,28.25,80,76,5.76,JM,1701215367
94,luderitz,-26.6481,15.1594,18.25,73,37,10.34,NA,1701215367
95,macka,40.8186,39.6136,7.64,44,84,5.86,TR,1701215367
96,weno,7.4515,151.8468,28.97,79,100,3.6,FM,1701215367
97,iskateley,67.6803,53.1512,-17.21,95,100,4.92,RU,1701215368
98,mount darwin,-16.7725,31.5838,23.18,37,57,0.96,ZW,1701215368
99,uturoa,-16.7333,-151.4333,26.77,80,79,9.24,PF,1701215368
100,tres lagoas,-20.7511,-51.6783,23.18,85,100,4.35,BR,1701215368
101,toliara,-23.35,43.6667,23.67,89,2,2.01,MG,1701215368
102,metlili chaamba,32.2667,3.6333,16.52,22,0,2.06,DZ,1701215369
103,tome acu,-2.4189,-48.1522,24.93,84,84,1.32,BR,1701215369
104,port alfred,-33.5906,26.891,16.21,91,100,1.34,ZA,1701215369
105,kuqa,41.7278,82.9364,1.38,47,8,0.22,CN,1701215370
106,iqaluit,63.7506,-68.5145,-1.15,92,100,8.75,CA,1701215370
107,udachny,66.4167,112.4,-17.53,84,100,10.23,RU,1701215370
108,port macquarie,-31.4333,152.9167,25.5,71,95,6.95,AU,1701215371
109,natal,-5.795,-35.2094,25.36,88,20,3.09,BR,1701215371
110,saipan,15.1355,145.701,29.39,74,20,6.69,MP,1701215371
111,port elizabeth,-33.918,25.5701,17.16,83,0,8.75,ZA,1701215371
112,isafjordur,66.0755,-23.124,0.4,88,100,1.46,IS,1701215371
113,kodiak,57.79,-152.4072,4.73,81,100,5.14,US,1701215372
114,christchurch,-43.5333,172.6333,14.12,59,100,3.6,NZ,1701214693
115,newman,37.3138,-121.0208,19.6,30,4,2.14,US,1701215372
116,aban,56.67,96.06,-20.0,95,33,1.73,RU,1701215372
117,ilulissat,69.2167,-51.1,-6.99,53,80,8.75,GL,1701215372
118,tazovsky,67.4667,78.7,-16.91,96,100,3.77,RU,1701215373
119,koryazhma,61.3143,47.1691,-4.49,94,100,2.01,RU,1701215373
120,anahuac,27.2333,-100.15,13.52,41,19,4.22,MX,1701215373
121,praya,14.9215,-23.5087,23.3,73,20,3.6,CV,1701215373
122,port lincoln,-34.7333,135.8667,16.73,76,76,6.53,AU,1701215374
123,nenjiang,49.1833,125.2167,-16.63,92,99,2.19,CN,1701215374
124,hanceville,34.0607,-86.7675,6.42,52,0,2.43,US,1701215374
125,labrador city,52.9463,-66.9114,-7.05,86,75,2.06,CA,1701215374
126,opelousas,30.5335,-92.0815,12.14,49,0,0.0,US,1701215374
127,imbituba,-28.24,-48.6703,22.7,95,100,8.37,BR,1701215375
128,igrim,63.1906,64.4162,-3.12,97,100,1.96,RU,1701215375
129,paros,37.0833,25.15,19.79,63,85,11.32,GR,1701215375
130,flying fish cove,-10.4217,105.6791,25.69,68,87,8.03,CX,1701215376
131,akureyri,65.6835,-18.0878,-0.04,100,75,0.0,IS,1701215376
132,salym,60.0625,71.4789,-3.68,85,100,3.04,RU,1701215376
133,nouadhibou,20.931,-17.0347,19.99,52,0,4.63,MR,1701215376
134,khandyga,62.6667,135.6,-28.04,97,100,1.11,RU,1701215376
